tx_hash,tx_id,shard_id,completion_type,success,send_time,completion_time,latency_ms,block_number,created_at
0x262354ddd78a483b36fb40cddcd6e78f5c08bd157d179e7856454f33be58c1c6,0x262354ddd78a483b36fb40cddcd6e78f5c08bd157d179e7856454f33be58c1c6,0,1,true,,1778167010000,,257,1778167013506
0xdaccf0ef8248c75d59e6efee2584a40f6435d992ac7f3067ccba739f670ef883,0xdaccf0ef8248c75d59e6efee2584a40f6435d992ac7f3067ccba739f670ef883,0,1,true,,1778167010000,,257,1778167013513
0x7a5e412a476d6577f7587dc3b68f97eb98c384eb5374b75af064d6eaeef010c5,0x7a5e412a476d6577f7587dc3b68f97eb98c384eb5374b75af064d6eaeef010c5,0,1,true,,1778167010000,,257,1778167013519
0x2d801ba9bfa27711c8c42286c4c4ceef29dfee7488d5c439952c1ff2d1c2ead2,0x2d801ba9bfa27711c8c42286c4c4ceef29dfee7488d5c439952c1ff2d1c2ead2,0,1,true,,1778167010000,,257,1778167013525
0x7fe35d975dc6d197ca54969511db91e0850b62c4e1c671486b8949b1f34068eb,0x7fe35d975dc6d197ca54969511db91e0850b62c4e1c671486b8949b1f34068eb,0,1,true,,1778167010000,,257,1778167013530
0x5354d30d1c8601ef50c8e25be7be0fec7fc6e8747fb51fd45c3c75fc91b78ea2,0x5354d30d1c8601ef50c8e25be7be0fec7fc6e8747fb51fd45c3c75fc91b78ea2,0,1,true,,1778167010000,,257,1778167013536
0x1363cdd1e8abe8fff93aed2aa6e202167118c0ed58cf455432b4626f6903f628,0x1363cdd1e8abe8fff93aed2aa6e202167118c0ed58cf455432b4626f6903f628,0,1,true,,1778167010000,,257,1778167013542
0x269004d631429158c8059568503305789c5ff2582401a01efef2c9529d9fac27,0x269004d631429158c8059568503305789c5ff2582401a01efef2c9529d9fac27,0,1,true,,1778167010000,,257,1778167013548
0xa4cec55bc0a8ea1151abc2dfdb60b83be1b6079cbc4c6a17f2985691cb0362d6,0xa4cec55bc0a8ea1151abc2dfdb60b83be1b6079cbc4c6a17f2985691cb0362d6,0,1,true,,1778167010000,,257,1778167013553
0x337dfa9c306f2663ecbe3df1ee72cc6f6643ac9241bfdde7574b8e6a39bc84a1,0x337dfa9c306f2663ecbe3df1ee72cc6f6643ac9241bfdde7574b8e6a39bc84a1,0,1,true,,1778167010000,,257,1778167013561
0x1a0d2aa0d5662ed829ed7f4e37096a6b325920ff00f3efe7c58f44e956587f5c,0x1a0d2aa0d5662ed829ed7f4e37096a6b325920ff00f3efe7c58f44e956587f5c,0,1,true,,1778167010000,,257,1778167013567
0xbfd1ef58d2f4179aa4fc3c55ea3fd7f04640a1923453c055b010fdd30e74070a,0xbfd1ef58d2f4179aa4fc3c55ea3fd7f04640a1923453c055b010fdd30e74070a,0,1,true,,1778167010000,,257,1778167013574
0x9f9f91330aa464fcc6af5555ef460462f4139532168cba775968534247337ad7,0x9f9f91330aa464fcc6af5555ef460462f4139532168cba775968534247337ad7,0,1,true,,1778167010000,,257,1778167013580
0x5dc9abd2d74d0258c2c1833a96a5f13f3e6e902f925aaa3b736c1df79a0efbe6,0x5dc9abd2d74d0258c2c1833a96a5f13f3e6e902f925aaa3b736c1df79a0efbe6,0,1,true,,1778167010000,,257,1778167013586
0xa8ff73baf9b650447197cec77655550472c9f021f0102c278d65ca73e886acdc,0xa8ff73baf9b650447197cec77655550472c9f021f0102c278d65ca73e886acdc,0,1,true,,1778167010000,,257,1778167013592
0x2f95ffba3831e2eacb10c5365fbfb64af106374be5cd3cb5056f781b538dc5da,0x2f95ffba3831e2eacb10c5365fbfb64af106374be5cd3cb5056f781b538dc5da,0,1,true,,1778167010000,,257,1778167013599
0xdaf4deb5a8f045f26d13a5db5391bae8e8afdbe3faa4df41ef394ca08ed99ee8,0xdaf4deb5a8f045f26d13a5db5391bae8e8afdbe3faa4df41ef394ca08ed99ee8,0,1,true,,1778167010000,,257,1778167013605
0xe7a4e58a81d755b240e38e960f6bda9e7b057b279ed66a24dc0abf36c6629958,0xe7a4e58a81d755b240e38e960f6bda9e7b057b279ed66a24dc0abf36c6629958,0,1,true,,1778167010000,,257,1778167013613
0x0873ad5f72a20cb5b1e81e51ef95bedc186e7288f84b2ba13f80348e17007728,0x0873ad5f72a20cb5b1e81e51ef95bedc186e7288f84b2ba13f80348e17007728,0,1,true,,1778167010000,,257,1778167013619
0xd102be9226a633b442df6f420ffa4123600d80c3c553462cda434bcd0c63848f,0xd102be9226a633b442df6f420ffa4123600d80c3c553462cda434bcd0c63848f,0,1,true,,1778167012000,,258,1778167017703
0x99afd25b0c5826f61578b43d2ef125578b7c8aee0c76790c803f5fdd51076ccb,0x99afd25b0c5826f61578b43d2ef125578b7c8aee0c76790c803f5fdd51076ccb,0,1,true,,1778167012000,,258,1778167017889
0x7061abe52971afd540148c51167a8741ba328e4f81223b147f343cb5b5ffa12d,0x7061abe52971afd540148c51167a8741ba328e4f81223b147f343cb5b5ffa12d,0,1,true,,1778167012000,,258,1778167017961
0xe2b062cbc339fcb21e78b5d8e3ce44ee2f392a534e8bdc6f1ac40c8e5ef35d64,0xe2b062cbc339fcb21e78b5d8e3ce44ee2f392a534e8bdc6f1ac40c8e5ef35d64,0,1,true,,1778167012000,,258,1778167018108
0x7741801e445c2a9292b61d3d01c8a620035bf818ef481365349a440afb61eddc,0x7741801e445c2a9292b61d3d01c8a620035bf818ef481365349a440afb61eddc,0,1,true,,1778167012000,,258,1778167018220
0xfab2a2b633abe62468da7808aa682e1a10cfe452fa66c40cc29afb22962280cf,0xfab2a2b633abe62468da7808aa682e1a10cfe452fa66c40cc29afb22962280cf,0,1,true,,1778167012000,,258,1778167018382
0x90987ee4ee60861cc3f54f2fb40e57288c187b78199340003178c5fe8183f7c6,0x90987ee4ee60861cc3f54f2fb40e57288c187b78199340003178c5fe8183f7c6,0,1,true,,1778167012000,,258,1778167018518
0xb489cf083948ef4f8a5281681bc3651a0ab60083f06c6265442b35bd0d76acaf,0xb489cf083948ef4f8a5281681bc3651a0ab60083f06c6265442b35bd0d76acaf,0,1,true,,1778167012000,,258,1778167018605
0x15592cdb81a950bd2248b1b14f745ccd3cf58f158ada5b5d7da6dad8c7e11082,0x15592cdb81a950bd2248b1b14f745ccd3cf58f158ada5b5d7da6dad8c7e11082,0,1,true,,1778167012000,,258,1778167018648
0xdecfbccaf13fdcb5a2d9337d1617f8a9449a946226881f0f1256d7738881496a,0xdecfbccaf13fdcb5a2d9337d1617f8a9449a946226881f0f1256d7738881496a,0,1,true,,1778167012000,,258,1778167018714
0x757f032c5c6ccddde99cf730622d5945dd552899bc9f86af0a7157646dadbe5b,0x757f032c5c6ccddde99cf730622d5945dd552899bc9f86af0a7157646dadbe5b,0,1,true,,1778167012000,,258,1778167018767
0xf4b2f67ba15f330cb3b48a42a7724f121e06ed7b6ddcd6b622bc92d50c27e574,0xf4b2f67ba15f330cb3b48a42a7724f121e06ed7b6ddcd6b622bc92d50c27e574,0,1,true,,1778167012000,,258,1778167018828
0x861da4bd886c17465a689fb342c66e9088cc66287755c0a5ec2b6a8767aeddde,0x861da4bd886c17465a689fb342c66e9088cc66287755c0a5ec2b6a8767aeddde,0,1,true,,1778167012000,,258,1778167018903
0x516269eb05dd0903293a6decf6b5b40efbeb72e685a8ff5f3f825a1e2fa50e2d,0x516269eb05dd0903293a6decf6b5b40efbeb72e685a8ff5f3f825a1e2fa50e2d,0,1,true,,1778167012000,,258,1778167018933
0x71dc7fb2972aa3d24b78e5e06fe596de16022d5823894004be80e122f913761d,0x71dc7fb2972aa3d24b78e5e06fe596de16022d5823894004be80e122f913761d,0,1,true,,1778167012000,,258,1778167018959
0x82bcb18883a3ae6d6529c34c4f76d0da005ae42b3c6058f8418a8277babb0b9e,0x82bcb18883a3ae6d6529c34c4f76d0da005ae42b3c6058f8418a8277babb0b9e,0,1,true,,1778167012000,,258,1778167018985
0x806fba3a442d9f3b11921aced0c0bf7cfedc92bfe76b7b3b8d7e6d6065062aad,0x806fba3a442d9f3b11921aced0c0bf7cfedc92bfe76b7b3b8d7e6d6065062aad,0,1,true,,1778167012000,,258,1778167019008
0x88686e0312fa0c82517a4b921a5069b9457f483c6a34593d18430df77db1a5c2,0x88686e0312fa0c82517a4b921a5069b9457f483c6a34593d18430df77db1a5c2,0,1,true,,1778167012000,,258,1778167019032
0xd8f7e31ef002883ede785e63f5b33232b227d8c98a1731fc077f3c4bc61baa2c,0xd8f7e31ef002883ede785e63f5b33232b227d8c98a1731fc077f3c4bc61baa2c,0,1,true,,1778167012000,,258,1778167019055
0x21497da566f69d5886a7ff528e60aa9c6b46e05d582a0ad5c010ac63ee1e637e,0x21497da566f69d5886a7ff528e60aa9c6b46e05d582a0ad5c010ac63ee1e637e,0,1,true,,1778167012000,,258,1778167019083
0x1facbb5a69232bdc593a2096b9ada449c1b64cd376d289f94b974197d0d70866,0x1facbb5a69232bdc593a2096b9ada449c1b64cd376d289f94b974197d0d70866,0,1,true,,1778167012000,,258,1778167019108
0xede54b4dd2970cff8a5083adb2303e43d320001c44256cd6f77462f58b848c66,0xede54b4dd2970cff8a5083adb2303e43d320001c44256cd6f77462f58b848c66,0,1,true,,1778167012000,,258,1778167019138
0x308375591cdcbd76be0da7520018a6e8af7e4f14d5e0c43a8b3ea2f03c27fc47,0x308375591cdcbd76be0da7520018a6e8af7e4f14d5e0c43a8b3ea2f03c27fc47,0,1,true,,1778167012000,,258,1778167019165
0xddc38ffee9ea89e5ee652d2729cc15e4f87190bb6e1a442821cfa786a20a5f31,0xddc38ffee9ea89e5ee652d2729cc15e4f87190bb6e1a442821cfa786a20a5f31,0,1,true,,1778167012000,,258,1778167019190
0x23523adaf42454b35d4432ca2fb85b250422187d518ef479a6c36e0ebd4fdfef,0x23523adaf42454b35d4432ca2fb85b250422187d518ef479a6c36e0ebd4fdfef,0,1,true,,1778167012000,,258,1778167019214
0xc3c734fe145b619d6a91aa7bdc4754ce1d6cb0ef0fc88762cbb7e5d3258180a6,0xc3c734fe145b619d6a91aa7bdc4754ce1d6cb0ef0fc88762cbb7e5d3258180a6,0,1,true,,1778167012000,,258,1778167019242
0x9f292215b534be028c3cfbf22c7c7a841b673668093ec90dfb5ed8b5c2ae3aba,0x9f292215b534be028c3cfbf22c7c7a841b673668093ec90dfb5ed8b5c2ae3aba,0,1,true,,1778167012000,,258,1778167019263
0x42b00fb34a65e1fed8865c2c455cd3ab069d0f689f736709f1de002e5916e463,0x42b00fb34a65e1fed8865c2c455cd3ab069d0f689f736709f1de002e5916e463,0,1,true,,1778167012000,,258,1778167019283
0x8b46823dcebb71c5368fdda7ca98bd7fababa955d68a18ca977ecc23a10e6104,0x8b46823dcebb71c5368fdda7ca98bd7fababa955d68a18ca977ecc23a10e6104,0,1,true,,1778167012000,,258,1778167019303
0xdcff08ee5fb8e99a613e2833e9557cb92f152299ceb1383b72e6b79ed7073d5c,0xdcff08ee5fb8e99a613e2833e9557cb92f152299ceb1383b72e6b79ed7073d5c,0,1,true,,1778167012000,,258,1778167019325
0xf54bb4710412533813d4e1a5b78a5f417e449dc42ae0742f85db3162c42f40db,0xf54bb4710412533813d4e1a5b78a5f417e449dc42ae0742f85db3162c42f40db,0,1,true,,1778167012000,,258,1778167019354
0x442b2705986a7d8effae02114a020c005c4892046bfcf571370fa1b8342fb7f6,0x442b2705986a7d8effae02114a020c005c4892046bfcf571370fa1b8342fb7f6,0,1,true,,1778167012000,,258,1778167019378
0x2c2f4114fea69ba053016439491ddb731a45b5d1c12a772e3098dd3fc7392a52,0x2c2f4114fea69ba053016439491ddb731a45b5d1c12a772e3098dd3fc7392a52,0,1,true,,1778167012000,,258,1778167019401
0x7d7875650864913152a2346ff351bfc609288c2967a038a751c9029bdb1dc48f,0x7d7875650864913152a2346ff351bfc609288c2967a038a751c9029bdb1dc48f,0,1,true,,1778167012000,,258,1778167019422
